UniProtID,gene_MIM_number,gene_HGNC_name
A0A1B0GTW7,619703,CIROP
A0AVF1,617453,IFT56
A0PJY2,613301,FEZF1
A0PK11,618988,CLRN2
A1A4Y4,608212,IRGM
A1X283,613293,SH3PXD2B
A1XBS5,617273,CIBAR1
A2IDD5,614666,CCDC78
A2PYH4,615684,HFM1
A2RRP1,608025,NBAS
A2RU14,619285,TMEM218
A3KMH1,617509,VWA8
A4D126,614631,CRPPA
A5D8V7,615956,ODAD3
A5YKK6,604917,CNOT1
A6H8Y1,607012,BDP1
A6NCS4,611770,NKX2-6
A6NFY7,612848,SDHAF1
A6NGG8,613425,PCARE
A6NHR9,614982,SMCHD1
A6NI61,615345,MYMK
A6NK58,617659,LIPT2
A6NNB3,614757,IFITM5
A6NNN8,615585,SLC38A8
A6NNY8,300975,USP27X
A7XYQ1,613667,SOBP
A8K2U0,610627,A2ML1
A8MTJ6,612351,FOXI3
A8MTZ0,613605,BBIP1
A8MXD5,613283,GRXCR1
A8MYU2,615215,KCNU1
A9QM74,614107,KPNA7
B0YJ81,610467,HACD1
B1AK53,606351,ESPN
B2RTY4,604875,MYO9A
B2RUZ4,615242,SMIM1
B2RXF5,613915,ZBTB42
B7U540,613236,KCNJ18
C9JE40,614661,PATL2
C9JR72,613727,KBTBD13
D6RGH6,614086,MCIDAS
O00115,126350,DNASE2
O00116,603051,AGPS
O00139,602591,KIF2A
O00142,188250,TK2
O00165,605998,HAX1
O00170,605555,AIP
O00187,605102,MASP2
O00189,602296,AP4M1
O00203,603401,AP3B1
O00204,604125,SULT2B1
O00217,602141,NDUFS8
O00232,604450,PSMD12
O00238,603248,BMPR1B
O00253,602311,AGRP
O00255,613733,MEN1
O00268,601796,TAF4
O00287,601861,RFXAP
O00294,602280,TULP1
O00300,602643,TNFRSF11B
O00303,603914,EIF3F
O00305,601949,CACNB4
O00329,602839,PIK3CD
O00330,608769,PDHX
O00337,606207,SLC28A1
O00358,602617,FOXE1
O00400,603690,SLC33A1
O00408,602658,PDE2A
O00411,601778,POLRMT
O00423,602033,EML1
O00429,603850,DNM1L
O00443,603601,PIK3C2A
O00444,605031,PLK4
O00459,603157,PIK3R2
O00462,609489,MANBA
O00468,103320,AGRN
O00469,601865,PLOD2
O00470,601739,MEIS1
O00476,611034,SLC17A3
O00483,603833,NDUFA4
O00499,601248,BIN1
O00505,601892,KPNA3
O00507,400005,USP9Y
O00519,602935,FAAH
O00522,604214,KRIT1
O00548,606582,DLL1
O00555,601011,CACNA1A
O00567,614154,NOP56
O00571,300160,DDX3X
O00584,612944,RNASET2
O00623,601758,PEX12
O00628,601757,PEX7
O00712,600728,NFIB
O00744,601906,WNT10B
O00754,609458,MAN2B1
O00755,601570,WNT7A
O00757,603027,FBP2
O00764,179020,PDXK
O14497,603024,ARID1A
O14520,602974,AQP7
O14521,602690,SDHD
O14526,613437,FCHO1
O14529,610648,CUX2
O14578,605629,CIT
O14593,603200,RFXANK
O14617,607246,AP3D1
O14640,601365,DVL1
O14645,602135,DNALI1
O14646,602118,CHD1
O14647,602119,CHD2
O14649,603220,KCNK3
O14653,604027,GOSR2
O14654,300904,IRS4
O14656,605204,TOR1A
O14662,603666,STX16
O14672,602192,ADAM10
O14678,603214,ABCD4
O14686,602113,KMT2D
