UniProtID,Freq_cut_off
A0A087X1C5,4.1
A0A0B4J2F0,4.1
A0A0B4J2F2,4.1
A0A0C5B5G6,4.1
A0A0K2S4Q6,4.1
A0A0U1RRE5,4.1
A0A1B0GTW7,4.1
A0AV02,4.1
A0AV96,4.1
A0AVF1,4.1
A0AVI4,4.1
A0AVK6,4.1
A0AVT1,4.1
A0FGR8,4.1
A0FGR9,4.1
A0JLT2,4.1
A0JNW5,4.1
A0JP26,4.1
A0M8Q6,4.1
A0MZ66,4.1
A0PJK1,4.1
A0PJY2,4.1
A0PK00,4.1
A0PK11,4.1
A1A4S6,4.1
A1A4Y4,4.1
A1A519,4.1
A1A5B4,4.1
A1A5C7,4.1
A1E959,4.1
A1KXE4,4.1
A1KZ92,4.1
A1L0T0,4.1
A1L167,4.1
A1L190,4.1
A1L390,4.1
A1L3X0,4.1
A1L4H1,4.1
A1L4K1,4.1
A1X283,4.617419281173741
A1XBS5,4.1
A1Z1Q3,4.1
A2A288,4.1
A2A2Y4,4.1
A2IDD5,4.28
A2PYH4,4.1
A2RRP1,2.9599953247385082
A2RTX5,4.1
A2RU14,4.1
A2RU30,4.1
A2RU49,4.1
A2RUB1,4.1
A2RUB6,4.1
A2RUC4,4.1
A2RUH7,4.1
A2VDJ0,4.1
A2VEC9,4.1
A3KMH1,4.1
A4D0S4,4.1
A4D126,3.8390785022345875
A4D161,4.1
A4D1B5,4.1
A4D1E9,4.1
A4D1P6,4.1
A4D1T9,4.1
A4D256,4.1
A4D2B0,4.1
A4GXA9,4.1
A4UGR9,4.1
A5A3E0,4.1
A5D8T8,4.1
A5D8V6,4.1
A5D8V7,4.18349753881391
A5D8W1,4.1
A5LHX3,4.1
A5PKW4,4.1
A5PLL7,4.1
A5X5Y0,4.1
A5YKK6,4.28
A5YM72,4.1
A6BM72,4.1
A6H8Y1,4.1
A6H8Z2,4.1
A6NC98,4.1
A6NCS4,4.1
A6ND01,4.1
A6ND36,4.1
A6NDB9,4.1
A6NDE4,4.1
A6NDG6,4.1
A6NDV4,4.1
A6NED2,4.1
A6NEM1,4.1
A6NFA1,4.1
A6NFQ2,4.1
A6NFX1,4.1
A6NFY7,4.1
A6NGG8,3.2966647646531473
A6NGQ2,4.1
A6NGU5,4.1
A6NHL2,4.1
A6NHR9,4.616622738611845
A6NHX0,4.1
A6NI15,4.1
A6NI61,4.1
A6NI73,4.1
A6NIH7,4.1
A6NIX2,4.1
A6NJ46,4.1
A6NJ78,4.1
A6NK06,4.1
A6NK58,4.1
A6NK89,4.1
A6NKB5,4.1
A6NMZ7,4.1
A6NNB3,4.28
A6NNM8,4.1
A6NNN8,2.8833789750380068
A6NNY8,4.1
A6NNZ2,4.1
A6PVC2,4.1
A7E2V4,4.1
A7E2Y1,4.1
A7KAX9,4.1
A7MCY6,4.1
A7MD48,4.1
A7XYQ1,4.1
A8CG34,4.1
A8K0Z3,4.1
A8K2U0,4.28
A8K4G0,4.1
A8K7I4,4.1
A8K830,4.1
A8K8P3,4.1
A8K8V0,4.1
A8MPY1,4.1
A8MQ03,4.1
A8MQ27,4.1
A8MT69,4.1
A8MTA8,4.1
A8MTJ3,4.1
A8MTJ6,4.1
A8MTQ0,4.1
A8MTZ0,4.1
A8MU46,4.1
A8MUP2,4.1
A8MV65,4.1
A8MVW5,4.1
A8MW92,4.1
A8MW95,4.1
A8MW99,4.1
A8MXD5,3.683767478572607
A8MXV4,4.1
A8MYU2,4.1
A8MZ59,4.1
A8TX70,4.1
A9QM74,4.1
A9UHW6,4.1
A9YTQ3,4.1
B0I1T2,4.1
B0L3A2,4.1
B0YJ81,4.1
B1AK53,3.3201461949092224
B2RTY4,4.1
B2RUY7,4.1
B2RUZ4,4.1
B2RXF5,4.1
B2RXH2,4.1
B3KU38,4.1
B6A8C7,4.1
B7U540,4.28
B7ZAQ6,4.1
C4AMC7,4.1
C9JE40,2.8130803749824813
C9JLW8,4.1
C9JR72,4.28
C9JRZ8,4.1
D3W0D1,4.1
D6RGH6,4.1
E0CX11,4.1
F5H094,4.1
G2XKQ0,4.1
H0YL14,4.1
H3BV60,4.1
K7EJ46,4.1
K9M1U5,4.1
L0R8F8,4.1
M0R2J8,4.1
O00115,4.1
O00116,4.1
O00124,4.1
O00139,4.28
O00141,4.1
O00142,2.8418154844679413
O00144,4.1
O00148,4.1
O00151,4.1
O00154,4.1
O00155,4.1
O00159,4.1
O00160,4.1
O00161,4.1
O00165,3.5760270868469948
O00167,4.1
O00168,4.1
O00170,3.725094329991939
O00175,4.1
O00178,4.1
O00180,4.1
O00182,4.1
O00186,4.1
O00187,4.1
O00189,3.3201461949092224
O00192,4.1
O00194,4.1
O00198,4.1
O00203,4.183098808769498
O00204,4.1
O00206,4.1
O00212,4.1
O00213,4.1
O00214,4.1
O00217,4.617419281173741
O00219,4.1
O00220,4.1
O00221,4.1
O00222,4.1
O00231,4.1
O00232,4.28
O00233,4.1
O00237,4.1
O00238,3.715501589171955
O00241,4.1
O00244,4.1
O00253,4.18
O00254,4.1
O00255,4.8326501682411465
O00257,4.1
O00258,4.1
O00264,4.1
O00267,4.1
O00268,4.1
O00270,4.1
O00273,4.1
O00287,2.9289653249458483
O00291,4.1
O00292,4.1
O00294,3.3821968516503595
