UniProtID,UniRef50_Cluster
A0A087X1C5,"P10635-2,A0A087X1C5,A0A2J8TWJ2,A0A8I5TC37,A0A2J8TWJ1,A0A2J8LMY5,A0A2R9YJI8,A0A2I3GYJ5,A0A2J8LMY1,A0A1B0GTQ1"
A0A0B4J2F0,"A0A0B4J2F0,C0HLN0,A0A2J8VC12,A0A087WXK0,A0A6D2X412,A0A2J8NSK2,A0A2R8ZL65,A0A6P8QTG5,A0A6P7WY59,A0A8C9DMU4"
A0A0B4J2F2,"P57059,A0A0B4J2F2,A0A2K5QYG2,A0A6J3HRC5,U3C0D8,A0A2K5QYK6,H2P3A9,H2QL37,A0A6D2WH48,A0A2R9B508"
A0A0C5B5G6,A0A0C5B5G6
A0A0K2S4Q6,"A0A0K2S4Q6,A0A2R9AUF4,A0A2I2YAE0,A0A2I3S4D9,A0A6D2XTA8,K7EUB5,A0A8C9G9F2,A0A2K6S685,A0A2K5S5Z6,A0A2K6QKS8"
A0A0U1RRE5,"A0A0U1RRE5,Q5RDV1,A0A4P8PLQ7,A0A2J8RB01,A0A6D2Y6C0,A0A2K6NR02,F7EAP2,A0A2J8J310,A0A2K5NTA9,A0A2R8Z7Q6"
A0A1B0GTW7,"A0A1B0GTW7,A0A286YEC0,A0A2I2YF44,A0A2I3GVZ2,A0A8I5TYH7,A0A8C9HGE2,A0A2K5P5Q0,A0A5F7ZUZ8,A0A8D2K4U2,A0A2K6DAV3"
A0A5B9,"P0DSE2,A0A5B9,A0A0A0MT78,A0A075B6N1,P01850,P0DTU4,A0A8S4QGD6,A0A2J8QUE2,A0A5C2,A0A811YT80"
A0AV02,"A0AV02,Q8VI23,Q6A4L1,Q8CJI3,A0AV02-2,C9IZN2,A0AV02-5,B3KVN1,A0A2R9CIT8,H2RD01"
A0AV96,"A0AV96,Q5R5P4,Q91WT8,Q66H68,Q9XSR3,B7Z8Z7,A0A8B8XEX8,A0A8C0CLA0,A0A8B8XEE7,A0A2Y9MVM3"
A0AVF1,"Q8BS45,Q4R7Z9,Q5U2N8,A0AVF1,A0A8C6IEQ4,K7G3R9,A0A4U1FPS8,A0A8B8YES8,A0A8C3IAS0,A0A9D3XTY7"
A0AVI4,"A0AVI4,Q8K304,K7D040,A0A6D2WG35,A0A2R9ANL5,A0A8B7HME8,A0A8C5Y0X0,A0A2K6GPX7,A0A2K5ID58,A0A2I2Z010"
A0AVK6,"A0AVK6,Q58FA4,F1LMN3,E9PMT9,A0A2J8UQQ9,H0WST6,A0A8D1Q8W1,A0A8D1K445,A0A8D1HUD8,A0A852KDX7"
A0AVT1,"A0AVT1,B3KSS1,A0AVT1-2,A0A8B7U8Y0,A0A250Y6S4,A0A8C0XLL2,G3RFM5,H0XBE5,H2PDA8,A0A2K6SSU8"
A0FGR8,"A0FGR8,Q3TZZ7,Q7ZWU7,Q5FWL4,A0FGR8-6,A0A2K5S2Q4,A0A2I3RBL5,A0A2J8KM10,A0A2I3RRK1,A0A2I3T241"
A0FGR9,"A0FGR9,Q5DTI8,A0A2R8ZI25,K6ZR51,A0A6D2VTQ8,G3QMU0,H2PBJ8,A0A2I2YKT3,A0A2K6JUI8,G1QW20"
A0JLT2,"A0JLT2,Q8C1S0,A0A5F9CBM5,A0A8J6GDZ9,A0A5E4BCY6,A0A8C5ZXP1,A0A2Y9FBV1,G3TWS8,A0A6I9M903,A0A1U7Q5W0"
A0JNW5,"A0JNW5,Q6NRZ1,A2RSJ4,A0A0C4DGH6,A0A2K5Y5M0,A0A2K5Y5P7,A0A8C9GKV6,A0A2K6CPZ4,A0A2K5MH31,A0A2K5MH13"
A0JP26,"A0JP26,Q86YR6,H3BUK9,A0A0A6YYL3,B2RU33,Q6S5H5,Q6S545,A6NI47,H2R2I9,A0A2J8PWE7"
A0M8Q6,"A0M8Q6,A0A2R8ZDH4,A0A5H1ZRQ7,A0A2I2YYH6,A0A2I3SLM4,A0A2J8IY37,A0A091UWR8,A0A2K5JIV2,A0A2K6JQW7,A0A091EH91"
A0MZ66,"A0MZ67,A0MZ66,Q8K2Q9,A6JI78,A0A8I6AFL7,A0A8D2AP42,A0A8D2ANY5,A0A8C6QVY2,G1S3J2,G1S3I9"
A0PJK1,"A0PJK1,Q5SWY8,Q5FY69,Q28610,Q6R4Q5,A0A096P339,G1RS29,A0A2K5XUS3,A0A2I3RGZ4,A0A6D2Y5H9"
A0PJY2,"Q0VDQ9,A0PJY2,A0A8C6H394,A0A6J2ARH6,A0A6J2ARZ3,A0A6G1AM70,G5AZE0,A0A6I9LUJ1,A0A8C5KIP6,A0A673VBD4"
A0PK00,"A0PK00,A0A7N9CC18,A0A8D2G836,A0A7N9D9L1,G7PJ68,H9ET05,A0A2K6NES0,A0A2K6M9H1"
A0PK11,"A0PK11,B2RVW2,L8I6X8,A0A485N238,G3SA32,A0A1A6HX43,M3XT40,A0A3Q7QB60,A0A3Q2I9E6,A0A7J8E6Q5"
A1A4S6,"Q6Y5D8,A1A4S6,Q6Y5D8-4,Q9CTN7,Q8C9L7,A0A6P7RHD1,A0A6P7R705,A0A8C6MTJ9,A6IYL0,A0A6P5Q6H1"
A1A4Y4,"A1A4Y4,A0A2I3SJE4,A1A4Y4-2,A0A2I3TCC3,A1A4Y4-4,C3UZU6,C3UZU4,G3RS79,C3UZU5,A0A8B7WV79"
A1A519,"A1A519,Q66LM5,A1A519-2,A0A2K6RPI0,A0A2K6KSD6,A0A2K5YWZ2,G1RMP6,A0A2K5LSF5,F7CJ72,A0A2I3N6N1"
A1A5B4,"A1A5B4,H2NC97,A0A2J8JVZ1,G3SAH7,H2RGF5,H0XJH2,A0AA40LKX8,A0A7J8GVB1,A0A8M1GJ41,A0A452STD4"
A1A5C7,"A1A5C7,A0A8I3X8Y5,A0A2K6RJJ0,A0A2K6L5Z1,A0A096NKM1,A0A8D2FAM3,A0A6J3FJV9,A0A2J8WMH7,A0A2J8WMI5,F7H6P8"
A1E959,"A1E959,A1YQ92,A1YQ94,A1YQ91,Q3HS83,A1YQ93,G1R7Z0,A0A0D9QXY8,G7P5P2,A0A8C9GPI8"
A1KXE4,"A1KXE4,A0A8C0MYR3,M1ESL0,M3YK73,A0A9V1GLX9,A0A2K6P3F0,A0A6J1Z358,A0A4X1SV52,M3VHA9,A0A8C9KWT7"
A1KZ92,"A1KZ92,H2PQA2,H2QW54,A0A2J8L4S3,A0A2K5KQZ2,G1QIM4,G3RQA0,A0A2I3N4S1,A0A8C9I318,A0A2K5D2A8"
A1L0T0,"A1L0T0,E9PL44,M0R026,A0A2J8LUE1,E9PJS0,M0QZX5,M0R1B5,A0A2K6KS25,A0A8I5U1D0,A0A2J8T754"
A1L167,"A1L167,A0A8C0MXR9,A0A7L0R1Q6,G7MUL9,W5Q0M1,A0A8D0N1Z9,H2PF53,U3E3N9,H9FQ12,A0A6J2AN08"
A1L190,"A1L190,A0A6D2XRS2,A0A2J8JBI7,A0A2R9BUY9,G3QK37,A0A0D9QXN7,A0A2R8MGL9,A0A7K8Y011,A0A7L1GCF4,A0A7L2V7Q2"
A1L390,"A1L390,Q4VAC9,A0A0U1RR71,A0A2X0SFH4,A0A2J8PIE7,A0A2J8PIG3,A0A8C8NWT4,A1L390-2,G3V3I3,G3V278"
A1L3X0,"A1L3X0,D6RBM2,A0A2K6N6X3,A0A2K6LEG6,A0A6J3I0C8,A0A2K5IZU6,A0A384C435,A0A452QMH3,F6VQ90,A0A2K5EY08"
A1L4H1,"A1L4H1,A0A2J8R3H7,M0QZ17,A0A2J8R3I5,A0A2J8IWQ8,A0A2K6PXQ7,A0A2K6DH39,A0A1D5RG52,A0A2I3LS56,A0A8C9M1T3"
A1L4K1,"A1L4K1,H0YLA8,F7I0M0,A0A0D9RXI3,A0A2K6R9U2,G7MYP8,G7P9C2,A0A2K6SDF2,A0A6J3GSF8,A0A096NN11"
A1X283,"A2AAY5,A1X283,A0A5F8MPP7,A0A8I6GKH6,D3ZAF9,B9EJ37,A6HDF0,A0A6B0S7S8,A0A8C0ACS8,A0A091I7S2"
A1XBS5,"A1XBS5,E5RFH7,E5RID3,A0A2J8UG88,A0A2J8PLV2,A0A2I3TUS5,A0A2R9CES8,G3SG05,A0A2J8UG92,A0A6D2X5N8"
A1Z1Q3,"A1Z1Q3,Q3UYG8,A1Z1Q3-5,A0A7N9IGV1,I7GIN3,A0A2R8YFN3,A0A8I5R1L2,A0A7N9IDZ5,A0A8D2FGY7,A0A8I5UGI7"
